ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-09-24,7231.682142531,-7804.958631605638,31776.033961745132,7231.682142531,7231.682142531,3562.5837617077837,3562.5837617077837,3562.5837617077837,3562.5837617077837,3562.5837617077837,3562.5837617077837,0.0,0.0,0.0,10794.265904238784
2021-09-25,7818.47397787352,-1100.035479236275,37688.218533867155,7818.47397787352,7818.47397787352,11527.129768647299,11527.129768647299,11527.129768647299,11527.129768647299,11527.129768647299,11527.129768647299,0.0,0.0,0.0,19345.60374652082
2021-09-26,8405.265813216043,-6176.389740344859,30646.59971018956,8405.265813216043,8405.265813216043,3120.2545286349905,3120.2545286349905,3120.2545286349905,3120.2545286349905,3120.2545286349905,3120.2545286349905,0.0,0.0,0.0,11525.520341851034
2021-09-27,8992.057648558563,-14060.576560016894,24730.14798667021,8992.057648558563,8992.057648558563,-3163.091025776851,-3163.091025776851,-3163.091025776851,-3163.091025776851,-3163.091025776851,-3163.091025776851,0.0,0.0,0.0,5828.9666227817115
2021-09-28,9578.849483901084,-12156.936539457949,26074.80580401239,9578.849483901084,9578.849483901084,-1940.4928551319306,-1940.4928551319306,-1940.4928551319306,-1940.4928551319306,-1940.4928551319306,-1940.4928551319306,0.0,0.0,0.0,7638.356628769153
2021-09-29,10165.64131787656,-14525.604485176069,23677.593057403552,10165.64131787656,10165.64131787656,-5409.1199695453415,-5409.1199695453415,-5409.1199695453415,-5409.1199695453415,-5409.1199695453415,-5409.1199695453415,0.0,0.0,0.0,4756.521348331218
2021-09-30,10752.433151852034,-16625.430610664607,21033.887012461437,10752.433151852034,10752.433151852034,-7697.264208540547,-7697.264208540547,-7697.264208540547,-7697.264208540547,-7697.264208540547,-7697.264208540547,0.0,0.0,0.0,3055.168943311487
2021-10-01,11339.224985827508,-5288.892190501936,33866.26219286413,11339.224985827508,11339.224985827508,3562.5837617169013,3562.5837617169013,3562.5837617169013,3562.5837617169013,3562.5837617169013,3562.5837617169013,0.0,0.0,0.0,14901.80874754441
2021-10-02,11926.016819802982,5270.3650238617065,42538.23153058323,11926.016819802982,11926.016819802982,11527.12976864733,11527.12976864733,11527.12976864733,11527.12976864733,11527.12976864733,11527.12976864733,0.0,0.0,0.0,23453.146588450312
2021-10-03,12512.80865912926,-3789.399798616437,34645.55984954592,12512.80865912926,12512.80865912926,3120.2545286717523,3120.2545286717523,3120.2545286717523,3120.2545286717523,3120.2545286717523,3120.2545286717523,0.0,0.0,0.0,15633.063187801012
2021-10-04,13099.600498455535,-9926.629164586388,28782.16301931411,13099.600498455535,13099.600498455535,-3163.0910257774344,-3163.0910257774344,-3163.0910257774344,-3163.0910257774344,-3163.0910257774344,-3163.0910257774344,0.0,0.0,0.0,9936.5094726781
2021-10-05,13686.392337781812,-8287.900626388207,31411.14055433821,13686.392337781812,13686.392337781812,-1940.4928551320627,-1940.4928551320627,-1940.4928551320627,-1940.4928551320627,-1940.4928551320627,-1940.4928551320627,0.0,0.0,0.0,11745.89948264975
2021-10-06,14273.184175747065,-10506.255426602569,27680.122835992315,14273.184175747065,14273.184175747065,-5409.1199695492605,-5409.1199695492605,-5409.1199695492605,-5409.1199695492605,-5409.1199695492605,-5409.1199695492605,0.0,0.0,0.0,8864.064206197803
2021-10-07,14859.976013712318,-10474.5774674138,26731.492306728047,14859.976013712318,14859.976013712318,-7697.264208536748,-7697.264208536748,-7697.264208536748,-7697.264208536748,-7697.264208536748,-7697.264208536748,0.0,0.0,0.0,7162.71180517557
2021-10-08,15446.767851677572,-1402.6061996284866,38078.74002167349,15446.767851677572,15446.767851677572,3562.5837616710464,3562.5837616710464,3562.5837616710464,3562.5837616710464,3562.5837616710464,3562.5837616710464,0.0,0.0,0.0,19009.35161334862
2021-10-09,16033.559689642827,9336.351889695561,46739.13667001201,16033.559689642827,16033.559689642827,11527.129768645884,11527.129768645884,11527.129768645884,11527.129768645884,11527.129768645884,11527.129768645884,0.0,0.0,0.0,27560.68945828871
2021-10-10,16620.351529083757,1540.0590657346652,39264.69756715234,16620.351529083757,16620.351529083757,3120.2545286635054,3120.2545286635054,3120.2545286635054,3120.2545286635054,3120.2545286635054,3120.2545286635054,0.0,0.0,0.0,19740.606057747264
2021-10-11,17207.14336852469,-4791.540426666969,33388.11224493409,17207.14336852469,17207.14336852469,-3163.0910257749833,-3163.0910257749833,-3163.0910257749833,-3163.0910257749833,-3163.0910257749833,-3163.0910257749833,0.0,0.0,0.0,14044.052342749705
2021-10-12,17793.935207965624,-4655.40163251351,35811.52695961216,17793.935207965624,17793.935207965624,-1940.492855131607,-1940.492855131607,-1940.492855131607,-1940.492855131607,-1940.492855131607,-1940.492855131607,0.0,0.0,0.0,15853.442352834016
2021-10-13,18380.727047406555,-5605.987800525504,32672.933618202736,18380.727047406555,18380.727047406555,-5409.119969555008,-5409.119969555008,-5409.119969555008,-5409.119969555008,-5409.119969555008,-5409.119969555008,0.0,0.0,0.0,12971.607077851548
2021-10-14,18967.518878066017,-7113.099661564599,30601.987419046578,18967.518878066017,18967.518878066017,-7697.264208552542,-7697.264208552542,-7697.264208552542,-7697.264208552542,-7697.264208552542,-7697.264208552542,0.0,0.0,0.0,11270.254669513475
2021-10-15,19554.310708725476,4862.179247043689,43771.10019844902,19554.310708725476,19554.310708725476,3562.5837616801637,3562.5837616801637,3562.5837616801637,3562.5837616801637,3562.5837616801637,3562.5837616801637,0.0,0.0,0.0,23116.89447040564
2021-10-16,20141.10253938493,11321.653841507576,51235.92530336091,20141.10253938493,20141.10253938493,11527.129768644438,11527.129768644438,11527.129768644438,11527.129768644438,11527.129768644438,11527.129768644438,0.0,0.0,0.0,31668.232308029368
2021-10-17,20727.89437004439,5028.5120262747305,44046.59507728986,20727.89437004439,20727.89437004439,3120.2545286555874,3120.2545286555874,3120.2545286555874,3120.2545286555874,3120.2545286555874,3120.2545286555874,0.0,0.0,0.0,23848.148898699976
2021-10-18,21314.68620401543,-2213.4284493269915,38122.025345117174,21314.68620401543,21314.68620401543,-3163.0910257755663,-3163.0910257755663,-3163.0910257755663,-3163.0910257755663,-3163.0910257755663,-3163.0910257755663,0.0,0.0,0.0,18151.595178239862
