ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,marathon,marathon_lower,marathon_upper,sick,sick_lower,sick_upper,vacation,vacation_lower,vacation_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-09-24,10556.192750069999,-6935.641660722575,33489.90805840662,10556.192750069999,10556.192750069999,3669.0949206137157,3669.0949206137157,3669.0949206137157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.0949206137157,3669.0949206137157,3669.0949206137157,0.0,0.0,0.0,14225.287670683714
2021-09-25,11076.25679805857,3200.798541810938,42040.1245096845,11076.25679805857,11076.25679805857,12224.388328473811,12224.388328473811,12224.388328473811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.388328473811,12224.388328473811,12224.388328473811,0.0,0.0,0.0,23300.64512653238
2021-09-26,11596.320846047141,-4465.612802601516,33697.35081438456,11596.320846047141,11596.320846047141,3317.434113523096,3317.434113523096,3317.434113523096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.434113523096,3317.434113523096,3317.434113523096,0.0,0.0,0.0,14913.754959570237
2021-09-27,12116.384894035713,-11242.214040895587,27879.817260250966,12116.384894035713,12116.384894035713,-3410.335221447953,-3410.335221447953,-3410.335221447953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3410.335221447953,-3410.335221447953,-3410.335221447953,0.0,0.0,0.0,8706.04967258776
2021-09-28,12636.448942024284,-8578.818286834454,30895.42685457259,12636.448942024284,12636.448942024284,-2228.5886988568113,-2228.5886988568113,-2228.5886988568113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2228.5886988568113,-2228.5886988568113,-2228.5886988568113,0.0,0.0,0.0,10407.860243167474
2021-09-29,13156.512991818214,-12919.298813842537,26668.128216644556,13156.512991818214,13156.512991818214,-6037.1865592773365,-6037.1865592773365,-6037.1865592773365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6037.1865592773365,-6037.1865592773365,-6037.1865592773365,0.0,0.0,0.0,7119.326432540877
2021-09-30,13676.577041612143,-13455.835385567498,26620.526471718877,13676.577041612143,13676.577041612143,-7534.806883033736,-7534.806883033736,-7534.806883033736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7534.806883033736,-7534.806883033736,-7534.806883033736,0.0,0.0,0.0,6141.770158578407
2021-10-01,14196.64109140607,-2564.0447086962786,38272.8590115433,14196.64109140607,14196.64109140607,3669.09492062407,3669.09492062407,3669.09492062407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.09492062407,3669.09492062407,3669.09492062407,0.0,0.0,0.0,17865.736012030142
2021-10-02,14716.7051412,7757.521770892952,46090.28330299757,14716.7051412,14716.7051412,12224.388328472043,12224.388328472043,12224.388328472043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.388328472043,12224.388328472043,12224.388328472043,0.0,0.0,0.0,26941.093469672043
2021-10-03,15236.76919856681,-480.6759079468484,38740.71960527356,15236.76919856681,15236.76919856681,3317.434113561743,3317.434113561743,3317.434113561743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.434113561743,3317.434113561743,3317.434113561743,0.0,0.0,0.0,18554.203312128553
2021-10-04,15756.833255933621,-7303.228183202641,31827.37642114818,15756.833255933621,15756.833255933621,-3410.335221449241,-3410.335221449241,-3410.335221449241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3410.335221449241,-3410.335221449241,-3410.335221449241,0.0,0.0,0.0,12346.49803448438
2021-10-05,16276.897313300435,-6421.912714164059,34301.51471635702,16276.897313300435,16276.897313300435,-2228.58869885816,-2228.58869885816,-2228.58869885816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2228.58869885816,-2228.58869885816,-2228.58869885816,0.0,0.0,0.0,14048.308614442274
2021-10-06,16796.96137174498,-7789.603510071139,30727.49111505816,16796.96137174498,16796.96137174498,-6037.18655928047,-6037.18655928047,-6037.18655928047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6037.18655928047,-6037.18655928047,-6037.18655928047,0.0,0.0,0.0,10759.77481246451
2021-10-07,17317.02543018953,-11991.065991575386,30423.277716180215,17317.02543018953,17317.02543018953,-7534.806883029624,-7534.806883029624,-7534.806883029624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7534.806883029624,-7534.806883029624,-7534.806883029624,0.0,0.0,0.0,9782.218547159904
2021-10-08,17837.08948863408,3006.0723271329784,40880.246006974485,17837.08948863408,17837.08948863408,3669.0949205763372,3669.0949205763372,3669.0949205763372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.0949205763372,3669.0949205763372,3669.0949205763372,0.0,0.0,0.0,21506.184409210415
2021-10-09,18357.15354707863,11174.59203571287,50427.55009746193,18357.15354707863,18357.15354707863,12224.38832847167,12224.38832847167,12224.38832847167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.38832847167,12224.38832847167,12224.38832847167,0.0,0.0,0.0,30581.541875550298
2021-10-10,18877.217604740403,1529.1607177688834,42204.8747746691,18877.217604740403,18877.217604740403,3317.434113553581,3317.434113553581,3317.434113553581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.434113553581,3317.434113553581,3317.434113553581,0.0,0.0,0.0,22194.651718293982
2021-10-11,19397.281662402176,-3395.4937169196232,36009.84359366295,19397.281662402176,19397.281662402176,-3410.3352214459046,-3410.3352214459046,-3410.3352214459046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3410.3352214459046,-3410.3352214459046,-3410.3352214459046,0.0,0.0,0.0,15986.946440956272
2021-10-12,19917.345720063953,-1826.2185046507207,36406.370538324816,19917.345720063953,19917.345720063953,-2228.5886988574375,-2228.5886988574375,-2228.5886988574375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2228.5886988574375,-2228.5886988574375,-2228.5886988574375,0.0,0.0,0.0,17688.757021206515
2021-10-13,20437.409777725727,-6093.14920652503,33779.09984124868,20437.409777725727,20437.409777725727,-6037.186559287121,-6037.186559287121,-6037.186559287121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6037.186559287121,-6037.186559287121,-6037.186559287121,0.0,0.0,0.0,14400.223218438605
2021-10-14,20957.473833394874,-7196.906226545988,32459.407160215975,20957.473833394874,20957.473833394874,-7534.80688304678,-7534.80688304678,-7534.80688304678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7534.80688304678,-7534.80688304678,-7534.80688304678,0.0,0.0,0.0,13422.666950348093
2021-10-15,21477.537889064024,6133.199396635918,45880.167283858565,21477.537889064024,21477.537889064024,3669.09492058669,3669.09492058669,3669.09492058669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.09492058669,3669.09492058669,3669.09492058669,0.0,0.0,0.0,25146.632809650713
2021-10-16,21997.60194473317,15161.732654955373,53032.102071019974,21997.60194473317,21997.60194473317,12224.3883284713,12224.3883284713,12224.3883284713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.3883284713,12224.3883284713,12224.3883284713,0.0,0.0,0.0,34221.99027320447
2021-10-17,22517.66600040232,7674.609624215279,46155.577705671625,22517.66600040232,22517.66600040232,3317.434113543938,3317.434113543938,3317.434113543938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.434113543938,3317.434113543938,3317.434113543938,0.0,0.0,0.0,25835.10011394626
2021-10-18,23037.73005658239,447.32617139077627,38331.46565909533,23037.73005658239,23037.73005658239,-3410.3352214471934,-3410.3352214471934,-3410.3352214471934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3410.3352214471934,-3410.3352214471934,-3410.3352214471934,0.0,0.0,0.0,19627.394835135197
2021-10-19,23557.794112762458,1560.8682549699145,42154.654928051656,23557.794112762458,23557.794112762458,-2228.588698860167,-2228.588698860167,-2228.588698860167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2228.588698860167,-2228.588698860167,-2228.588698860167,0.0,0.0,0.0,21329.20541390229
2021-10-20,24077.858168942526,-3030.611765601719,37991.39903606072,24077.858168942526,24077.858168942526,-6037.186559290252,-6037.186559290252,-6037.186559290252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6037.186559290252,-6037.186559290252,-6037.186559290252,0.0,0.0,0.0,18040.671609652272
2021-10-21,24597.922225122587,-2539.5617803609975,37517.79603488929,24597.922225122587,24597.922225122587,-7534.806883042668,-7534.806883042668,-7534.806883042668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7534.806883042668,-7534.806883042668,-7534.806883042668,0.0,0.0,0.0,17063.11534207992
2021-10-22,25117.986280556663,7271.272166805155,47392.24536593612,25117.986280556663,25117.986280556663,3669.0949205974916,3669.0949205974916,3669.0949205974916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.0949205974916,3669.0949205974916,3669.0949205974916,0.0,0.0,0.0,28787.081201154153
2021-10-23,25638.050335990734,9933.91407962974,48902.488760095905,25638.050335990734,25638.050335990734,3411.7457457922305,3411.7457457922305,3411.7457457922305,-8812.642582678,-8812.642582678,-8812.642582678,0.0,0.0,0.0,0.0,0.0,0.0,-8812.642582678,-8812.642582678,-8812.642582678,12224.388328470231,12224.388328470231,12224.388328470231,0.0,0.0,0.0,29049.796081782966
2021-10-24,26158.114391424802,183.475130694743,40021.8952700736,26158.114391424802,26158.114391424802,-5495.208469140744,-5495.208469140744,-5495.208469140744,-8812.642582678,-8812.642582678,-8812.642582678,0.0,0.0,0.0,0.0,0.0,0.0,-8812.642582678,-8812.642582678,-8812.642582678,3317.4341135372574,3317.4341135372574,3317.4341135372574,0.0,0.0,0.0,20662.90592228406
2021-10-25,26678.17844465573,-6565.344290659961,33149.93117743107,26678.17844465573,26678.17844465573,-12222.977804126482,-12222.977804126482,-12222.977804126482,-8812.642582678,-8812.642582678,-8812.642582678,0.0,0.0,0.0,0.0,0.0,0.0,-8812.642582678,-8812.642582678,-8812.642582678,-3410.3352214484817,-3410.3352214484817,-3410.3352214484817,0.0,0.0,0.0,14455.200640529247
2021-10-26,27198.242497886647,-4348.593550282185,35571.18795631076,27198.242497886647,27198.242497886647,-11041.231281535374,-11041.231281535374,-11041.231281535374,-8812.642582678,-8812.642582678,-8812.642582678,0.0,0.0,0.0,0.0,0.0,0.0,-8812.642582678,-8812.642582678,-8812.642582678,-2228.5886988573743,-2228.5886988573743,-2228.5886988573743,0.0,0.0,0.0,16157.011216351273
2021-10-27,27718.30655111757,-5592.062637420889,33874.97664576729,27718.30655111757,27718.30655111757,-14849.829141971386,-14849.829141971386,-14849.829141971386,-8812.642582678,-8812.642582678,-8812.642582678,0.0,0.0,0.0,0.0,0.0,0.0,-8812.642582678,-8812.642582678,-8812.642582678,-6037.186559293387,-6037.186559293387,-6037.186559293387,0.0,0.0,0.0,12868.477409146184
2021-10-28,28238.370604348496,-7501.141791625059,32729.41488786962,28238.370604348496,28238.370604348496,-16347.449465716554,-16347.449465716554,-16347.449465716554,-8812.642582678,-8812.642582678,-8812.642582678,0.0,0.0,0.0,0.0,0.0,0.0,-8812.642582678,-8812.642582678,-8812.642582678,-7534.8068830385555,-7534.8068830385555,-7534.8068830385555,0.0,0.0,0.0,11890.921138631942
2021-10-29,28758.434658552433,3525.4546444606494,43329.93646944474,28758.434658552433,28758.434658552433,-5143.547662069931,-5143.547662069931,-5143.547662069931,-8812.642582678,-8812.642582678,-8812.642582678,0.0,0.0,0.0,0.0,0.0,0.0,-8812.642582678,-8812.642582678,-8812.642582678,3669.094920608069,3669.094920608069,3669.094920608069,0.0,0.0,0.0,23614.886996482503
2021-10-30,29278.498712756373,13402.129518268432,52601.18115987496,29278.498712756373,29278.498712756373,3411.745745796872,3411.745745796872,3411.745745796872,-8812.642582678,-8812.642582678,-8812.642582678,0.0,0.0,0.0,0.0,0.0,0.0,-8812.642582678,-8812.642582678,-8812.642582678,12224.388328474872,12224.388328474872,12224.388328474872,0.0,0.0,0.0,32690.244458553243
2021-10-31,29798.562766960316,14348.650044227858,52033.230003796096,29798.562766960316,29798.562766960316,3317.434113527613,3317.434113527613,3317.434113527613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.434113527613,3317.434113527613,3317.434113527613,0.0,0.0,0.0,33115.99688048793
2021-11-01,30318.626821164253,8127.562915924728,47595.59226399169,30318.626821164253,30318.626821164253,-3410.3352214497704,-3410.3352214497704,-3410.3352214497704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3410.3352214497704,-3410.3352214497704,-3410.3352214497704,0.0,0.0,0.0,26908.29159971448
2021-11-02,30838.686630574954,9715.712536932346,48687.44892783153,30838.686630574954,30838.686630574954,-2228.5886988587217,-2228.5886988587217,-2228.5886988587217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2228.5886988587217,-2228.5886988587217,-2228.5886988587217,0.0,0.0,0.0,28610.09793171623
2021-11-03,31358.74643998567,5573.094272037492,44190.28732666732,31358.74643998567,31358.74643998567,-6037.186559298279,-6037.186559298279,-6037.186559298279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6037.186559298279,-6037.186559298279,-6037.186559298279,0.0,0.0,0.0,25321.55988068739
2021-11-04,31878.80624939637,5495.299549172067,45349.62980154196,31878.80624939637,31878.80624939637,-7534.806883055711,-7534.806883055711,-7534.806883055711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7534.806883055711,-7534.806883055711,-7534.806883055711,0.0,0.0,0.0,24343.999366340657
2021-11-05,32398.866058807067,17352.687942339977,55341.43835742233,32398.866058807067,32398.866058807067,3669.0949206186465,3669.0949206186465,3669.0949206186465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.0949206186465,3669.0949206186465,3669.0949206186465,0.0,0.0,0.0,36067.96097942571
2021-11-06,32917.59211063964,25425.040379399146,63972.603148435825,32917.59211063964,32917.59211063964,12224.388328473106,12224.388328473106,12224.388328473106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.388328473106,12224.388328473106,12224.388328473106,0.0,0.0,0.0,45141.98043911275
2021-11-07,33436.31816247221,16675.065848782724,56038.01723815213,33436.31816247221,33436.31816247221,3317.43411351797,3317.43411351797,3317.43411351797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.43411351797,3317.43411351797,3317.43411351797,0.0,0.0,0.0,36753.752275990184
2021-11-08,33955.044214304784,11154.659250423374,48668.23986988147,33955.044214304784,33955.044214304784,-3410.3352214490874,-3410.3352214490874,-3410.3352214490874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3410.3352214490874,-3410.3352214490874,-3410.3352214490874,0.0,0.0,0.0,30544.708992855696
